5.42,185.09,0
4.98,146.65,1
5.64,182.24,0
5.28,154.42,1
5.87,186.37,0
4.72,111.18,1
5.4,185.95,0
5.04,123.87,1
6.14,205.08,0
5.1,131.48,1
6.08,168.98,0
4.78,148.04,1
5.68,126.18,0
5.63,144.28,1
6.16,152.81,0
5.08,141.92,1
6.06,175.77,0
5.28,126.41,1
5.72,193.41,0
4.96,135.98,1
5.89,164.08,0
5.23,124.29,1
5.42,179.39,0
5.09,143.32,1
6.28,166.58,0
5.65,149.89,1
6.03,175.11,0
5.03,158.9,1
5.47,176.15,0
5.27,127.41,1
5.96,168.58,0
4.97,146.52,1
5.73,219.67,0
5.34,130.36,1
5.34,166.51,0
5.86,129.05,1
6.17,155.01,0
5.37,144.08,1
5.93,148.58,0
5.08,132.58,1
6.37,167.53,0
5.41,154.99,1
5.6,181.67,0
4.89,152.79,1
5.74,169.92,0
5.32,146.22,1
5.75,151.55,0
5.15,138.75,1
5.81,163.08,0
5.12,151.05,1
5.97,200.6,0
5.59,153.06,1
6.04,190.49,0
5.05,115.36,1
5.94,184.5,0
4.87,145.96,1
5.58,162.69,0
5.42,135.44,1
5.89,180.07,0
5.24,127.39,1
5.4,173.76,0
4.9,120.46,1
5.76,180.26,0
5.48,157.43,1
5.78,163.69,0
5.49,137.39,1
5.32,170.65,0
5.78,144.78,1
5.41,190.28,0
5.15,125.04,1
6.13,154.97,0
5.46,158.35,1
5.82,183.97,0
5.15,109.31,1
5.53,170.78,0
5.2,130.46,1
5.78,131.63,0
5.32,155.27,1
5.43,138.71,0
5.44,142.89,1
5.45,138.15,0
5.71,136.36,1
5.74,204.4,0
5.22,158.61,1
5.41,145.25,0
5.08,135.63,1
5.66,207.88,0
5.66,129.65,1
6.13,149.03,0
5.16,123.31,1
5.75,163.08,0
5.38,142.78,1
5.56,223.68,0
5.24,146.55,1
5.91,188.74,0
5.55,140.21,1
6.2,161.04,0
4.87,128.61,1
5.93,159.26,0
5.45,134.95,1
5.9,170.63,0
5.05,151.82,1
5.66,152.0,0
5.2,132.92,1
6.33,157.18,0
5.17,138.76,1
5.37,172.63,0
5.02,136.48,1
5.48,139.57,0
5.39,145.84,1
5.63,131.22,0
5.49,152.83,1
5.52,164.73,0
5.5,142.85,1
6.07,153.46,0
5.06,141.26,1
5.83,161.13,0
5.07,154.52,1
5.87,139.7,0
5.13,153.31,1
5.75,185.14,0
5.52,151.14,1
4.95,151.09,0
4.75,124.24,1
5.58,179.88,0
5.32,151.6,1
5.11,194.33,0
5.19,124.23,1
6.23,176.37,0
5.31,126.02,1
5.15,164.26,0
4.94,146.56,1
6.18,173.09,0
4.64,134.06,1
6.09,201.04,0
5.38,161.04,1
5.99,178.32,0
5.48,118.24,1
6.2,130.49,0
5.07,126.25,1
5.53,169.77,0
5.01,136.95,1
5.87,186.03,0
5.66,146.11,1
5.64,157.59,0
5.17,120.99,1
6.4,134.04,0
5.03,128.83,1
6.06,191.63,0
4.76,140.39,1
6.16,175.75,0
5.02,123.69,1
6.23,185.84,0
5.67,146.48,1
